No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Volume,Industry,Sector,Net Income,FCF,Net Cash,Rev. Growth
2453,YOTA,Yotta Acquisition Corporation,42.31M,11.40,-0.78%,-,3,Shell Companies,Financials,-,518.38K,-,-1.83M
2454,OTLK,"Outlook Therapeutics, Inc.",42.26M,1.320,-5.71%,-,"276,329",Biotechnology,Healthcare,-,-46.81M,-66.73M,-25.33M
2455,LNZA,"LanzaTech Global, Inc.",42.23M,0.214,-22.95%,58.03M,"4,170,997",Waste Management,Industrials,7.99%,-129.41M,-90.09M,-3.68M
2456,JRSH,"Jerash Holdings (US), Inc.",42.17M,3.430,-1.72%,138.14M,"6,885",Apparel Manufacturing,Consumer Discretionary,15.70%,-3.78M,-7.90M,7.58M
2457,BTOC,Armlogi Holding Corp.,42.09M,1.010,3.00%,177.35M,"82,453",Integrated Freight & Logistics,Industrials,10.30%,-5.37M,-14.02M,-117.99M
2458,UG,"United-Guardian, Inc.",42.04M,9.15,-0.54%,12.18M,"9,409",Household & Personal Products,Consumer Staples,11.91%,3.25M,3.03M,9.40M
2459,SPRO,"Spero Therapeutics, Inc.",41.79M,0.767,-10.88%,47.98M,"286,860",Biotechnology,Healthcare,-53.77%,-68.57M,-23.44M,48.59M
2460,ANTX,"AN2 Therapeutics, Inc.",41.53M,1.390,-3.47%,-,"39,775",Biotechnology,Healthcare,-,-51.32M,-,83.62M
2461,ONEG,OneConstruction Group Limited,41.34M,3.180,19.55%,63.46M,"74,492",Engineering & Construction,Industrials,16.46%,1.77M,-6.97M,-22.86M
2462,OMCC,Old Market Capital Corporation,41.32M,6.21,0.16%,25.15M,708,Credit Services,Financials,-,-4.33M,-6.58M,23.34M
2463,IPWR,Ideal Power Inc.,41.31M,5.07,0.40%,86.03K,"12,095",Electrical Equipment & Parts,Industrials,-56.74%,-10.42M,-8.94M,15.36M
2464,RADX,Radiopharm Theranostics Limited,41.15M,5.40,-5.26%,204.61K,"5,302",Biotechnology,Healthcare,-94.50%,-26.61M,-21.01M,22.55M
2465,AIXI,Xiao-I Corporation,41.13M,3.900,-5.80%,65.64M,"70,994",Software - Application,Technology,6.22%,-23.37M,-,-41.77M
2466,USEG,U.S. Energy Corp.,40.92M,1.210,-3.20%,19.34M,"159,889",Oil & Gas Exploration & Production,Energy,-35.97%,-25.78M,-3.33M,7.24M
2467,PLUT,Plutus Financial Group Limited,40.89M,2.900,0.69%,952.97K,"174,280",Capital Markets,Financials,-59.19%,-1.36M,-2.11M,5.63M
2468,RAVE,"Rave Restaurant Group, Inc.",40.75M,2.770,-0.36%,12.24M,"11,374",Restaurants,Consumer Discretionary,3.25%,2.67M,3.57M,8.15M
2469,IBIO,"iBio, Inc.",40.68M,4.120,-6.58%,375.00K,"613,826",Biotechnology,Healthcare,650.00%,-19.30M,-16.30M,2.26M
2470,DYAI,"Dyadic International, Inc.",40.54M,1.370,1.48%,3.50M,"23,539",Biotechnology,Healthcare,20.58%,-5.81M,-3.97M,4.20M
2471,AGEN,Agenus Inc.,40.49M,1.600,-3.61%,103.46M,"350,263",Biotechnology,Healthcare,-33.81%,-227.43M,-158.89M,-54.55M
2472,CVGI,"Commercial Vehicle Group, Inc.",40.49M,1.250,-6.72%,723.36M,"375,972",Auto Parts,Consumer Discretionary,-13.42%,-27.87M,-51.97M,-139.79M
2473,STAI,ScanTech AI Systems Inc.,40.44M,2.160,-7.30%,522.17K,"279,113",Building Products & Equipment,Industrials,-,-40.59M,-6.32M,-46.34M
2474,UONE,"Urban One, Inc.",40.37M,1.440,-2.04%,449.67M,"1,534",Broadcasting,Communication Services,-5.87%,-105.39M,-,-513.46M
2475,ASRV,"AmeriServ Financial, Inc.",40.31M,2.440,-3.17%,53.14M,"5,641",Banks - Regional,Financials,18.14%,3.60M,976.00K,-84.14M
2476,WW,"WW International, Inc.",40.03M,0.500,-7.31%,785.92M,"1,148,859",Personal Services,Consumer Discretionary,-11.65%,-345.70M,-17.56M,-1.43B
2477,DWSN,Dawson Geophysical Company,39.97M,1.290,-0.77%,82.78M,"7,244",Oil & Gas Equipment & Services,Energy,-8.12%,-5.42M,-744.00K,2.12M
2478,TZUP,Thumzup Media Corporation,39.97M,4.240,-3.64%,741.00,"68,935",Advertising Agencies,Communication Services,-63.82%,-4.00M,-3.50M,4.68M
2479,BLUE,"bluebird bio, Inc.",39.94M,4.080,7.65%,83.81M,"1,307,358",Biotechnology,Healthcare,184.12%,-240.72M,-262.62M,-308.22M
2480,USIO,"Usio, Inc.",39.88M,1.470,-5.77%,82.93M,"191,931",Software - Infrastructure,Technology,-1.35%,3.31M,1.90M,4.19M
2481,CELU,Celularity Inc.,39.86M,1.773,-5.69%,48.20M,"50,269",Biotechnology,Healthcare,225.94%,-35.05M,-13.02M,-68.93M
2482,AGFY,Agrify Corporation,39.86M,20.42,-3.39%,9.68M,"9,311",Farm & Heavy Construction Machinery,Industrials,-36.07%,-41.75M,-11.59M,20.13M
2483,VRCA,Verrica Pharmaceuticals Inc.,39.74M,0.433,-1.03%,7.57M,"392,814",Biotechnology,Healthcare,47.66%,-76.58M,-60.95M,390.00K
2484,DECA,Denali Capital Acquisition Corp.,39.69M,11.94,0.33%,-,507,Shell Companies,Financials,-,1.23M,-,-2.61M
2485,ABLV,Able View Global Inc.,39.61M,0.951,5.34%,130.09M,"23,696",Advertising Agencies,Communication Services,-21.69%,-2.34M,9.02M,-10.00M
2486,HFBL,"Home Federal Bancorp, Inc. of Louisiana",39.61M,13.08,-0.83%,19.71M,327,Banks - Regional,Financials,-12.04%,3.33M,4.79M,14.68M
2487,DXR,Daxor Corporation,39.57M,8.02,-0.99%,119.71K,"2,165",Medical Instruments & Supplies,Healthcare,-26.75%,536.33K,-,-729.97K
2488,UBXG,U-BX Technology Ltd.,39.48M,4.030,-7.78%,51.60M,"30,402",Software - Infrastructure,Technology,-45.29%,-748.54K,-1.37M,4.12M
2489,PSTV,"Plus Therapeutics, Inc.",39.37M,1.160,-23.68%,5.82M,"3,163,426",Biotechnology,Healthcare,18.54%,-12.98M,-10.70M,239.00K
2490,PBBK,"PB Bankshares, Inc.",39.23M,16.60,1.16%,12.44M,234,Banks - Regional,Financials,1.44%,1.77M,-,8.51M
2491,WAI,Top KingWin Ltd,39.16M,0.214,-0.93%,3.99M,"112,598",Capital Markets,Financials,-5.24%,-5.13M,-3.27M,2.85M
2492,PXLW,"Pixelworks, Inc.",39.12M,0.643,-6.83%,43.21M,"178,211",Semiconductors,Technology,-27.60%,-28.72M,-23.57M,20.16M
2493,TURN,180 Degree Capital Corp.,39.00M,3.900,1.04%,194.81K,"37,925",Asset Management,Financials,254.25%,-3.87M,269.93K,552.10K
2494,SCYX,"SCYNEXIS, Inc.",38.98M,1.000,-0.99%,3.75M,"43,934",Drug Manufacturers - Specialty & Generic,Healthcare,-97.33%,-21.29M,-24.01M,43.03M
2495,RMTI,"Rockwell Medical, Inc.",38.82M,1.140,-5.00%,101.49M,"253,622",Drug Manufacturers - Specialty & Generic,Healthcare,21.38%,-782.00K,3.19M,8.07M
2496,SNAL,"Snail, Inc.",38.70M,1.040,-14.05%,84.47M,"96,226",Electronic Gaming & Multimedia,Communication Services,38.69%,1.83M,-1.57M,79.03K
2497,CLIR,ClearSign Technologies Corporation,38.68M,0.770,-2.52%,4.28M,"49,791",Pollution & Treatment Controls,Industrials,263.02%,-5.09M,-5.43M,14.28M
2498,XLO,"Xilio Therapeutics, Inc.",38.62M,0.746,2.21%,6.34M,"308,924",Biotechnology,Healthcare,-,-58.24M,-18.41M,47.15M
2499,OPXS,"Optex Systems Holdings, Inc",38.49M,5.60,-6.35%,35.23M,"14,058",Aerospace & Defense,Industrials,23.22%,4.18M,1.39M,224.00K
2500,ZBAO,Zhibao Technology Inc.,38.46M,1.220,1.67%,25.27M,"51,543",Insurance Brokers,Financials,29.25%,1.82M,-562.46K,-4.47M
2001,CSLR,"Complete Solaria, Inc.",113.60M,1.540,-4.35%,40.80M,"490,963",Solar,Technology,-51.66%,-131.09M,-40.77M,-125.22M
2002,BHST,BioHarvest Sciences Inc.,113.58M,6.56,1.63%,22.43M,"1,188",Packaged Foods,Consumer Staples,111.68%,-17.19M,-10.02M,-7.93M
2003,AFBI,"Affinity Bancshares, Inc.",113.38M,17.75,-0.17%,30.61M,"31,738",Banks - Regional,Financials,3.04%,5.44M,-,-18.97M
2004,MCTR,Ctrl Group Limited,112.91M,7.38,0.41%,4.45M,"23,557",Advertising Agencies,Communication Services,-21.95%,18.72K,416.72K,-948.92K
2005,MRAM,"Everspin Technologies, Inc.",112.48M,5.08,-0.97%,50.40M,"77,061",Semiconductors,Technology,-20.96%,781.00K,4.05M,33.90M
2006,TWIN,"Twin Disc, Incorporated",112.46M,7.95,-2.33%,321.40M,"50,064",Specialty Industrial Machinery,Industrials,9.23%,9.39M,13.55M,-33.99M
2007,MAMO,Massimo Group,112.18M,2.700,1.50%,111.21M,"8,535",Recreational Vehicles,Consumer Discretionary,-3.33%,3.15M,6.28M,-4.95M
2008,NAUT,"Nautilus Biotechnology, Inc.",111.96M,0.888,-5.26%,-,"59,833",Biotechnology,Healthcare,-,-70.78M,-62.03M,99.42M
2009,ODYS,Odysight.ai Inc.,110.89M,6.80,4.62%,3.96M,"8,523",Scientific & Technical Instruments,Technology,30.70%,-11.77M,-8.27M,17.12M
2010,CHAR,Charlton Aria Acquisition Corporation,110.80M,10.11,0.09%,-,"1,300",Shell Companies,Financials,-,355.78K,-,447.42K
2011,AIFE,Aifeex Nexus Acquisition Corporation,110.48M,10.02,-,-,"3,956",Shell Companies,Financials,-,-146.25K,-,533.01K
2012,HOFT,Hooker Furnishings Corporation,110.16M,10.45,-3.33%,389.78M,"69,035","Furnishings, Fixtures & Appliances",Consumer Discretionary,-16.67%,-9.76M,-9.39M,-51.93M
2013,DIBS,"1stdibs.Com, Inc.",110.10M,3.110,0.16%,88.26M,"75,665",Internet Retail,Consumer Discretionary,4.22%,-18.63M,-3.53M,81.73M
2014,ZJYL,Jin Medical International Ltd.,109.97M,0.703,-1.28%,23.50M,"60,416",Medical Instruments & Supplies,Healthcare,18.57%,3.68M,-1.35M,15.15M
2015,BRAG,Bragg Gaming Group Inc.,109.82M,4.260,-2.74%,105.60M,"18,552",Gambling,Consumer Discretionary,9.07%,-5.33M,10.94M,300.24K
2016,COYA,"Coya Therapeutics, Inc.",109.72M,6.56,-4.79%,3.55M,"33,264",Biotechnology,Healthcare,-40.79%,-14.88M,-10.29M,38.34M
2017,LCUT,"Lifetime Brands, Inc.",109.26M,4.930,-3.90%,682.95M,"33,926","Furnishings, Fixtures & Appliances",Consumer Discretionary,-0.54%,-15.17M,16.34M,-247.39M
2018,EPWK,EPWK Holdings Ltd.,109.14M,4.890,-,20.22M,"384,882",Staffing & Employment Services,Industrials,2.10%,-1.20M,-1.62M,-7.43M
2019,PFX,PhenixFIN Corporation,109.07M,54.00,1.29%,22.68M,196,Asset Management,Financials,7.21%,16.55M,-,-134.81M
2020,GPRO,"GoPro, Inc.",108.67M,0.690,-5.52%,801.47M,"2,329,991",Consumer Electronics,Technology,-20.29%,-432.31M,-129.18M,-19.40M
2021,IVAC,"Intevac, Inc.",108.54M,3.995,-0.13%,63.98M,"70,454",Specialty Industrial Machinery,Industrials,21.48%,-39.80M,5.62M,60.41M
2022,KVHI,"KVH Industries, Inc.",108.31M,5.48,1.67%,113.83M,"31,077",Communication Equipment,Technology,-14.01%,-11.05M,-20.59M,49.34M
2023,IMUX,"Immunic, Inc.",108.09M,1.200,-3.23%,-,"651,190",Biotechnology,Healthcare,-,-96.90M,-76.26M,58.17M
2024,SND,"Smart Sand, Inc.",108.05M,2.520,-3.08%,311.37M,"198,540",Oil & Gas Equipment & Services,Energy,5.20%,2.99M,10.85M,-35.67M
2025,NEGG,"Newegg Commerce, Inc.",107.92M,0.278,4.67%,1.39B,"712,480",Internet Retail,Consumer Discretionary,-10.38%,-54.61M,3.20M,-47.33M
2026,ELUT,Elutia Inc.,107.55M,2.640,-0.75%,24.38M,"16,830",Medical Devices,Healthcare,-1.50%,-53.95M,-23.31M,-11.50M
2027,PPIH,"Perma-Pipe International Holdings, Inc.",107.53M,13.47,-2.95%,153.58M,"7,253",Building Products & Equipment,Industrials,4.52%,15.86M,10.56M,-21.80M
2028,RAIL,"FreightCar America, Inc.",107.50M,1.790,-17.89%,60.88M,"2,530,687",Telecom Services,Communication Services,-55.61%,-45.73M,-21.83M,7.20M
2529,WAVE,Eco Wave Power Global AB (publ),36.51M,6.25,-8.09%,168.00K,"22,608",Utilities - Renewable,Utilities,-45.10%,-2.08M,-1.85M,6.50M
2530,SPAI,Safe Pro Group Inc.,36.46M,2.650,-4.33%,1.56M,"49,970",Aerospace & Defense,Industrials,35.50%,-10.46M,-3.37M,1.69M
2531,MSAI,"MultiSensor AI Holdings, Inc.",35.98M,1.120,-5.08%,7.62M,"49,156",Software - Infrastructure,Technology,30.50%,-35.34M,-17.26M,8.46M
2532,KZR,"Kezar Life Sciences, Inc.",35.94M,4.920,-4.09%,-,"35,842",Biotechnology,Healthcare,-,-83.74M,-74.24M,116.07M
2533,RAY,Raytech Holding Limited,35.93M,2.040,6.25%,9.94M,"4,594,631",Household & Personal Products,Consumer Staples,28.52%,1.05M,251.38K,10.43M
2534,HPH,Highest Performances Holdings Inc.,35.91M,0.145,-3.79%,287.00M,"79,775",Asset Management,Financials,"1,722.42%",-39.98M,7.36M,93.28M
2535,NCEW,New Century Logistics (BVI) Limited,35.91M,1.670,-5.11%,52.18M,"12,418",Integrated Freight & Logistics,Industrials,44.64%,220.64K,1.43M,-4.11M
2536,BMR,Beamr Imaging Ltd.,35.85M,2.310,-4.94%,3.06M,"107,906",Software - Application,Technology,5.33%,-3.35M,-1.92M,16.23M
2537,INKT,"MiNK Therapeutics, Inc.",35.82M,9.03,-2.11%,-,"1,897",Biotechnology,Healthcare,-,-10.78M,-9.56M,-347.57K
2538,IZEA,"IZEA Worldwide, Inc.",35.80M,2.110,1.69%,35.88M,"92,805",Internet Content & Information,Communication Services,-0.92%,-18.85M,-11.53M,51.07M
2539,SRZN,"Surrozen, Inc.",35.78M,11.01,-3.34%,10.00M,"5,141",Biotechnology,Healthcare,-20.00%,-44.44M,-28.43M,29.49M
2540,RNXT,"RenovoRx, Inc.",35.57M,1.000,-1.96%,-,"25,848",Biotechnology,Healthcare,-,-9.16M,-8.75M,9.56M
2541,DIST,Distoken Acquisition Corporation,35.55M,11.11,-4.63%,-,99,Shell Companies,Financials,-,37.13K,-,-1.17M
2542,PXS,Pyxis Tankers Inc.,35.55M,3.390,-0.29%,51.54M,"7,357",Oil & Gas Midstream,Energy,13.36%,9.62M,-26.32M,-46.28M
2543,MTEN,Mingteng International Corporation Inc.,35.32M,5.69,3.27%,9.14M,"28,167",Metal Fabrication,Industrials,18.30%,678.53K,-662.67K,-56.60K
2544,FBLG,"FibroBiologics, Inc.",35.28M,0.950,-6.86%,-,"63,126",Biotechnology,Healthcare,-,-17.78M,-10.52M,6.27M
2545,AAME,Atlantic American Corporation,35.09M,1.720,-1.71%,188.23M,868,Insurance - Life,Financials,0.77%,-4.27M,-,-16.86M
2546,KPTI,Karyopharm Therapeutics Inc.,35.01M,4.160,-4.37%,145.24M,"157,294",Biotechnology,Healthcare,-0.55%,-76.42M,-127.63M,-159.31M
2547,RAYA,Erayak Power Solution Group Inc.,35.00M,1.250,3.31%,22.82M,"6,164",Electrical Equipment & Parts,Industrials,-8.30%,-315.00K,-12.48M,-4.04M
2548,ARKR,Ark Restaurants Corp.,35.00M,9.71,-0.63%,181.05M,"31,885",Restaurants,Consumer Discretionary,-2.05%,-2.10M,-70.00K,-78.67M
2549,ALXO,ALX Oncology Holdings Inc.,34.97M,0.655,-8.27%,-,"193,056",Biotechnology,Healthcare,-,-134.85M,-122.36M,110.78M
2550,BCG,"Binah Capital Group, Inc.",34.96M,1.950,-2.99%,161.72M,"9,843",Asset Management,Financials,-2.77%,-5.07M,-230.00K,-21.57M
2551,AWRE,"Aware, Inc.",34.81M,1.650,-2.37%,17.39M,"12,753",Software - Application,Technology,-4.69%,-4.43M,-3.21M,23.57M
2552,GLE,Global Engine Group Holding Limited,34.76M,1.900,-16.32%,6.33M,"57,487",Information Technology Services,Technology,10.67%,332.41K,232.68,1.08M
2553,CVKD,"Cadrenal Therapeutics, Inc.",34.70M,18.46,-1.34%,-,"9,812",Biotechnology,Healthcare,-,-10.65M,-7.36M,10.02M
2554,UONEK,"Urban One, Inc.",34.61M,0.736,0.82%,449.67M,"6,782",Broadcasting,Communication Services,-5.87%,-105.39M,-,-513.46M
2555,NISN,"Nisun International Enterprise Development Group Co., Ltd",34.56M,7.60,2.01%,452.26M,"33,863",Specialty Business Services,Industrials,86.06%,16.56M,-91.36M,50.79M
2556,HHS,"Harte Hanks, Inc.",34.36M,4.670,-1.68%,185.24M,"168,085",Conglomerates,Industrials,-3.26%,-30.30M,-6.73M,-14.66M
2557,NRXP,"NRx Pharmaceuticals, Inc.",34.34M,2.030,-1.93%,-,"175,316",Biotechnology,Healthcare,-,-25.13M,-10.64M,-4.81M
2558,PPSI,"Pioneer Power Solutions, Inc.",34.25M,3.110,-1.58%,34.04M,"27,048",Electrical Equipment & Parts,Industrials,-18.35%,-8.94M,-9.21M,-782.00K
2559,WKEY,WISeKey International Holding AG,34.25M,3.950,-12.22%,20.99M,"97,128",Semiconductors,Technology,-25.27%,-17.86M,-15.48M,9.15M
2560,XHLD,"TEN Holdings, Inc.",34.20M,1.250,-18.30%,3.84M,"2,384,259",Broadcasting,Communication Services,-20.05%,-2.12M,-1.65M,-5.30M
2561,LVTX,LAVA Therapeutics N.V.,33.93M,1.290,-0.77%,11.98M,"43,188",Biotechnology,Healthcare,77.01%,-25.11M,-,71.30M
2562,TPST,"Tempest Therapeutics, Inc.",33.70M,0.772,-8.08%,-,"506,848",Biotechnology,Healthcare,-,-41.84M,-33.46M,14.90M
2563,OPI,Office Properties Income Trust,33.50M,0.480,-4.35%,501.98M,"533,684",REIT - Office,Real Estate,-5.92%,-136.12M,-,-2.27B
2564,BOLD,"Boundless Bio, Inc.",33.45M,1.500,-0.66%,-,"22,625",Biotechnology,Healthcare,-,-65.36M,-,167.01M
2565,ESLA,"Estrella Immunopharma, Inc.",33.34M,0.921,-0.92%,-,"8,875",Biotechnology,Healthcare,-,-8.85M,-,916.92K
2566,CLPS,CLPS Incorporation,33.30M,1.190,-1.44%,153.82M,"4,603",Information Technology Services,Technology,5.81%,-1.23M,-,5.62M
2567,CASI,"CASI Pharmaceuticals, Inc.",33.27M,2.147,-2.39%,22.06M,"6,971",Biotechnology,Healthcare,-47.82%,-30.97M,-,1.69M
2568,AIFF,"Firefly Neuroscience, Inc.",33.17M,4.110,0.49%,74.00K,"279,329",Software - Application,Technology,-84.55%,-7.75M,-5.52M,1.23M
2569,BWEN,"Broadwind, Inc.",33.03M,1.480,-1.33%,143.14M,"124,294",Specialty Industrial Machinery,Industrials,-29.66%,1.15M,10.19M,-23.43M
2570,MNY,MoneyHero Limited,32.82M,0.790,1.27%,90.19M,"37,640",Internet Content & Information,Communication Services,24.60%,-113.90M,-,47.42M
2571,SAGT,Sagtec Global Limited,32.76M,2.610,-18.44%,8.87M,"66,466",Software - Application,Technology,125.24%,1.54M,40.02K,-742.67K
2572,SCOR,"comScore, Inc.",32.72M,6.66,-2.63%,356.05M,"1,935",Internet Content & Information,Communication Services,-4.12%,-77.85M,17.29M,-42.93M
2573,MESA,"Mesa Air Group, Inc.",32.27M,0.781,-8.91%,475.52M,"259,406",Airlines,Industrials,-6.64%,-94.44M,-12.59M,-347.40M
2574,FTEK,"Fuel Tech, Inc.",32.24M,1.050,1.94%,25.13M,"63,804",Pollution & Treatment Controls,Industrials,-7.19%,-1.94M,-3.81M,18.07M
2575,FTCI,"FTC Solar, Inc.",32.13M,2.500,-1.57%,57.35M,"33,498",Solar,Technology,-55.89%,-47.55M,-25.99M,6.50M
2576,GRCE,"Grace Therapeutics, Inc.",31.83M,2.320,2.20%,-,"5,855",Biotechnology,Healthcare,-,-13.37M,-14.06M,11.06M
2577,APWC,Asia Pacific Wire & Cable Corporation Limited,31.76M,1.540,0.68%,468.13M,218,Electrical Equipment & Parts,Industrials,12.16%,3.65M,6.49M,-18.18M
2578,FOXX,Foxx Development Holdings Inc.,31.74M,4.360,2.11%,42.99M,"17,399",Consumer Electronics,Technology,98.81%,-3.09M,-6.12M,2.39M
2579,FGEN,"FibroGen, Inc.",31.67M,0.314,-4.33%,29.62M,"2,284,489",Biotechnology,Healthcare,-36.71%,-47.58M,-138.27M,-39.69M
2580,MOBX,"Mobix Labs, Inc.",31.56M,0.853,-0.92%,9.33M,"276,069",Semiconductors,Technology,"1,023.61%",-41.47M,-15.76M,-4.70M
2581,AKTX,"Akari Therapeutics, Plc",31.44M,1.270,-2.31%,-,"3,098",Biotechnology,Healthcare,-,-20.16M,-14.84M,1.25M
2582,EDRY,EuroDry Ltd.,31.38M,11.10,-1.07%,61.08M,"2,096",Marine Shipping,Industrials,28.35%,-9.66M,-3.92M,-100.48M
2583,FLUX,"Flux Power Holdings, Inc.",31.36M,1.880,-7.39%,60.79M,"54,404",Electrical Equipment & Parts,Industrials,-5.72%,-8.81M,2.19M,-11.70M
2584,BTCS,BTCS Inc.,31.34M,1.560,-7.14%,4.07M,"196,898",Capital Markets,Financials,204.08%,-1.27M,-3.53M,1.98M
2585,ZCMD,Zhongchao Inc.,31.27M,1.240,-6.06%,17.41M,"3,611",Health Information Services,Healthcare,1.01%,-6.52M,-205.83K,11.49M
2586,ATHE,Alterity Therapeutics Limited,31.12M,3.440,-1.72%,2.30M,"12,169",Biotechnology,Healthcare,8.55%,-12.25M,-10.36M,2.74M
2587,AACG,ATA Creativity Global,30.97M,1.000,1.00%,36.73M,"8,550",Education & Training Services,Consumer Staples,20.96%,-4.95M,-,180.50K
2588,SGRP,"SPAR Group, Inc.",30.92M,1.390,0.72%,228.87M,"98,828",Specialty Business Services,Industrials,-12.74%,12.25M,3.38M,-2.05M
2589,GDC,GD Culture Group Limited,30.83M,2.510,-3.46%,-,"14,878",Electronic Gaming & Multimedia,Communication Services,-,-13.84M,-5.68M,-1.86M
2590,PLUR,Pluri Inc.,30.72M,4.390,1.62%,678.00K,"6,468",Biotechnology,Healthcare,89.92%,-19.86M,-17.63M,-7.98M
2591,COOT,Australian Oilseeds Holdings Limited,30.66M,1.320,3.94%,23.79M,"1,924",Packaged Foods,Consumer Staples,16.10%,-16.21M,-2.51M,-12.28M
2592,FCUV,Focus Universal Inc.,30.51M,4.510,-6.04%,398.14K,"4,495",Scientific & Technical Instruments,Technology,-9.63%,-3.20M,-4.68M,3.50M
2593,GROW,"U.S. Global Investors, Inc.",30.31M,2.270,-4.22%,9.42M,"75,742",Asset Management,Financials,-26.88%,509.00K,-412.00K,35.69M
2594,TRSG,Tungray Technologies Inc.,30.25M,1.850,15.63%,14.44M,"62,225",Metal Fabrication,Industrials,9.34%,-160.63K,-,6.49M
2595,LEXX,Lexaria Bioscience Corp.,30.19M,1.720,-1.71%,496.92K,"56,998",Biotechnology,Healthcare,77.63%,-7.32M,-6.57M,7.99M
2596,WVVI,"Willamette Valley Vineyards, Inc.",30.04M,6.05,-0.16%,39.78M,"2,418",Beverages - Wineries & Distilleries,Consumer Staples,1.65%,-2.37M,-5.33M,-29.25M
2597,ASBP,"Aspire Biopharma Holdings, Inc.",29.77M,0.640,-2.48%,-,"157,600",Biotechnology,Healthcare,-,-648.16K,-,-836.57K
2598,BEEM,Beam Global,29.70M,2.010,-6.51%,60.88M,"112,752",Solar,Technology,10.25%,-11.73M,-3.17M,2.71M
2599,INTS,"Intensity Therapeutics, Inc.",29.60M,1.950,1.09%,-,"17,637",Biotechnology,Healthcare,-,-16.27M,-,2.45M
2600,FEMY,Femasys Inc.,29.54M,1.290,-3.37%,1.63M,"212,817",Medical Instruments & Supplies,Healthcare,51.97%,-18.82M,-,-3.99M
2601,HSON,"Hudson Global, Inc.",29.49M,10.72,-0.65%,140.06M,"2,046",Staffing & Employment Services,Industrials,-13.19%,-4.77M,-2.81M,15.95M
2602,CLGN,CollPlant Biotechnologies Ltd.,29.21M,2.550,-3.77%,515.00K,"3,202",Biotechnology,Healthcare,-95.30%,-16.61M,-14.58M,8.83M
2603,PMEC,Primech Holdings Ltd.,29.05M,0.764,1.52%,74.31M,"133,047",Specialty Business Services,Industrials,5.07%,-4.65M,-9.99M,-9.74M
2604,FPAY,"FlexShopper, Inc.",28.97M,1.350,-1.46%,134.56M,"51,203",Rental & Leasing Services,Industrials,24.46%,-3.50M,-34.27M,-142.30M
2605,COCH,"Envoy Medical, Inc.",28.96M,1.360,-1.81%,278.00K,"26,351",Medical Devices,Healthcare,15.35%,-25.17M,-26.80M,-11.19M
2606,ARBK,Argo Blockchain plc,28.78M,0.369,-4.18%,52.87M,"251,641",Capital Markets,Financials,18.91%,-48.06M,7.17M,-37.33M
2607,GBIO,Generation Bio Co.,28.67M,0.428,-6.37%,19.89M,"530,860",Biotechnology,Healthcare,236.92%,-131.67M,-90.96M,91.66M
2608,BANL,CBL International Limited,28.21M,1.026,-1.76%,521.17M,"2,301",Oil & Gas Midstream,Energy,24.34%,-1.63M,-743.27K,27.04M
2609,RDI,"Reading International, Inc.",28.03M,1.250,-6.72%,197.27M,"42,672",Entertainment,Communication Services,-12.18%,-41.87M,-18.04M,-401.88M
2610,PYPD,PolyPid Ltd.,27.92M,2.740,0.74%,-,"32,515",Biotechnology,Healthcare,-,-29.02M,-22.04M,6.02M
2611,NTWK,"NetSol Technologies, Inc.",27.66M,2.370,-1.66%,62.05M,"8,107",Software - Application,Technology,9.28%,-831.58K,2.16M,11.37M
2612,CLNN,Clene Inc.,27.65M,3.220,1.26%,342.00K,"28,569",Packaged Foods,Consumer Staples,-47.71%,-39.40M,-21.34M,-8.69M
2613,XOS,"Xos, Inc.",27.62M,3.440,-3.37%,62.86M,"785,666",Farm & Heavy Construction Machinery,Industrials,81.07%,-45.01M,-53.25M,-36.86M
2614,NSYS,Nortech Systems Incorporated,27.57M,10.00,0.20%,135.57M,"2,382",Medical Devices,Healthcare,-2.40%,4.54M,-4.60M,-17.65M
2615,INTG,The InterGroup Corporation,27.57M,12.79,-0.70%,59.66M,"1,843",Lodging,Consumer Discretionary,4.33%,-10.15M,6.70M,-180.90M
2616,SHOT,"Safety Shot, Inc.",27.56M,0.414,-4.37%,652.50K,"451,653",Beverages - Non-Alcoholic,Consumer Staples,68.01%,-41.56M,-22.96M,992.71K
2617,KTCC,Key Tronic Corporation,27.55M,2.560,-3.76%,514.39M,"20,103",Computer Hardware,Technology,-19.91%,-8.00M,14.06M,-120.78M
2618,EPOW,"Sunrise New Energy Co., Ltd.",27.53M,1.020,2.00%,46.63M,"21,526",Electrical Equipment & Parts,Industrials,-4.00%,-27.61M,-14.11M,-29.10M
2619,AERT,"Aeries Technology, Inc",27.50M,0.617,-2.53%,70.85M,"22,269",Consulting Services,Industrials,4.38%,16.82M,-8.03M,-16.03M
2620,YHGJ,Yunhong Green CTI Ltd.,27.18M,1.052,-7.76%,18.56M,"27,933",Packaging & Containers,Consumer Discretionary,11.78%,-1.80M,-200.00K,-8.00M
2621,HBIO,"Harvard Bioscience, Inc.",26.89M,0.610,1.65%,94.14M,"351,742",Medical Instruments & Supplies,Healthcare,-16.14%,-12.41M,-1.20M,-40.39M
2622,HUBC,HUB Cyber Security Ltd.,26.86M,0.377,-7.55%,33.36M,"1,133,340",Software - Infrastructure,Technology,-23.84%,-49.06M,-14.51M,-29.73M
2623,CALC,"CalciMedica, Inc.",26.83M,1.990,-3.86%,-,"17,773",Biotechnology,Healthcare,-,-13.70M,-,18.67M
